Statistics	EXPERIMENT_3_T_A01	EXPERIMENT_3_T_A02	EXPERIMENT_3_T_A03	EXPERIMENT_3_T_A04	EXPERIMENT_3_T_A05	EXPERIMENT_3_T_A06	EXPERIMENT_3_T_A07	EXPERIMENT_3_T_A08	EXPERIMENT_3_T_A09	EXPERIMENT_3_T_A10	EXPERIMENT_3_T_B01	EXPERIMENT_3_T_B02	EXPERIMENT_3_T_B03	EXPERIMENT_3_T_B04	EXPERIMENT_3_T_B05	EXPERIMENT_3_T_B06	EXPERIMENT_3_T_B07	EXPERIMENT_3_T_B08	EXPERIMENT_3_T_B09	EXPERIMENT_3_T_B10	EXPERIMENT_3_T_C01	EXPERIMENT_3_T_C02	EXPERIMENT_3_T_C03	EXPERIMENT_3_T_C04	EXPERIMENT_3_T_C05	EXPERIMENT_3_T_C06	EXPERIMENT_3_T_C07	EXPERIMENT_3_T_C08	EXPERIMENT_3_T_C09	EXPERIMENT_3_T_C10	EXPERIMENT_3_T_D01	EXPERIMENT_3_T_D02	EXPERIMENT_3_T_D03	EXPERIMENT_3_T_D04	EXPERIMENT_3_T_D05	EXPERIMENT_3_T_D06	EXPERIMENT_3_T_D07	EXPERIMENT_3_T_D08	EXPERIMENT_3_T_D09	EXPERIMENT_3_T_D10	EXPERIMENT_3_T_E01	EXPERIMENT_3_T_E02	EXPERIMENT_3_T_E03	EXPERIMENT_3_T_E04	EXPERIMENT_3_T_E05	EXPERIMENT_3_T_E06	EXPERIMENT_3_T_E07	EXPERIMENT_3_T_E08	EXPERIMENT_3_T_E09	EXPERIMENT_3_T_E10	EXPERIMENT_3_T_F01	EXPERIMENT_3_T_F02	EXPERIMENT_3_T_F03	EXPERIMENT_3_T_F04	EXPERIMENT_3_T_F05	EXPERIMENT_3_T_F06	EXPERIMENT_3_T_F07	EXPERIMENT_3_T_F08	EXPERIMENT_3_T_F09	EXPERIMENT_3_T_F10	EXPERIMENT_3_T_KN_hom1	EXPERIMENT_3_T_KN_hom2	EXPERIMENT_3_T_KN_hom_pl1	EXPERIMENT_3_T_KN_hom_pl2	EXPERIMENT_3_T_Neg_PCR
#########
%_of_all_Symbionts_reads_in_lib	73.96449704142012	75.56272303046939	88.21432108547094	66.8332338902148	78.35951134380453	44.04029436602727	64.62230641723893	52.94889826535396	91.21285368974833	70.46007106788853	77.31411229135054	56.46296296296296	89.98609179415855	47.83963158607612	92.00302724520685	89.1298515471293	87.15826162727372	60.48706240487063	84.13135750986672	69.4507835082915	46.11208920187793	56.65788703541118	81.70670920147542	77.19211822660098	73.38107338107338	75.07413221698937	76.77991396716706	73.7991877888251	62.37253130243965	70.9382871536524	54.34730538922155	51.54291224686596	65.0043685731568	64.44733843398991	81.73860549351042	70.41904289610711	55.202180826896864	58.75555555555556	64.52586717177697	89.4786640174094	59.60414927864552	61.140008669267445	66.6724078539442	35.886840432294974	49.53699093896246	65.43119266055047	70.78154425612053	72.34597981204315	28.90012782748847	59.85066053991959	72.60081000176088	74.6589499793303	29.09439626417612	58.70556778861277	0.9513207165266673	0.790360196942213	0.29955067398901647	0.27210884353741494	0.0	0.0	0.0	0.0	0.0	0.0	0.0
%_of_PCR_contamination_reads_in_lib	1.2506724045185582	3.808674169640406	4.44686540556601	1.066527446300716	12.68760907504363	3.016045361322234	25.52687662798958	12.0112517580872	3.440921370681075	5.778941462502337	16.99544764795144	11.675925925925926	0.8066759388038943	13.544629554381688	0.6306760847628659	0.791450545519585	1.6120248338960899	10.136986301369863	2.055253555737583	5.3856686444545865	6.866197183098592	5.326309628328944	0.8074967600438641	4.039408866995074	3.696003696003696	2.0059305773591487	3.283293828461066	3.5429211595014705	4.143539434619853	3.707493702770781	30.80239520958084	31.24397299903568	2.8294912292492773	2.1487872375061046	12.888620585571989	13.513513513513514	1.9471668722009476	2.0253968253968253	7.2747721084408665	5.7148263790330205	2.9808036246572076	2.893368010403121	20.496038580778507	44.37380801017164	5.207607288658767	5.717431192660551	12.777777777777777	15.21058127392969	3.2734952481520594	2.144361478077733	16.728297235428773	9.942124844977265	5.845563709139427	2.2255426234664992	0.11132476469992915	0.1166105208603265	0.06656681644200366	0.04186289900575615	73.02709069493521	82.23529411764706	71.96078431372548	80.0	75.33129459734964	75.17241379310344	99.14236706689536
%_of_Extraction_contamination_reads_in_lib	11.087950511027433	4.700796047213835	1.9510745766069129	9.449582338902147	6.2652705061082035	12.015924719507781	5.422685294814113	6.179090482887951	1.1517133513436657	3.562745464746587	3.6039453717754175	5.342592592592593	1.7802503477051461	3.8060409047812542	2.3309788092835517	2.2670363083527096	1.993246922993138	7.00152207001522	4.557301362722466	5.0661798265632125	8.377347417840376	9.394205443371378	2.69165586681288	4.876847290640394	6.837606837606838	8.110936682365253	3.037485734351681	4.0050413107407925	5.156834903833742	7.013539042821158	10.467065868263473	10.896817743490839	20.539014718731096	24.694774540126975	0.9658919408391186	6.818745350855443	14.856883234893232	13.111111111111112	7.156386882917013	2.526256031791087	9.192798378442827	7.672301690507152	5.0292800551153976	3.750794659885569	9.668425769192472	6.722935779816513	3.531073446327684	3.7069265576052906	11.271049852720502	5.648094964579744	2.2891354111639375	4.898718478710211	5.478652434956638	3.7433155080213902	3.79516243295213	4.832858253433532	0.016641704110500914	0.020931449502878074	8.598351001177857	13.058823529411764	23.92156862745098	18.58267716535433	20.18348623853211	17.832512315270936	0.0
%_of_all_contaminants_reads_in_lib	12.3386	8.5095	6.3979	10.5161	18.9529	15.032	30.9496	18.1903	4.5926	9.3417	20.5994	17.0185	2.5869	17.3507	2.9617	3.0585	3.6053	17.1385	6.6126	10.4518	15.2435	14.7205	3.4992	8.9163	10.5336	10.1169	6.3208	7.548	9.3004	10.721	41.2695	42.1408	23.3685	26.8436	13.8545	20.3323	16.8041	15.1365	14.4312	8.2411	12.1736	10.5657	25.5253	48.1246	14.876	12.4404	16.3089	18.9175	14.5445	7.7925	19.0174	14.8408	11.3242	5.9689	3.9065	4.9495	0.0832	0.0628	81.6254	95.2941	95.8824	98.5827	95.5148	93.0049	99.1424
%_of_PCR_Spikein_reads_in_lib	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
%_of_Extraction_Spikein_reads_in_lib	0.06051640667025282	0.13038704364534726	0.039615727443795185	0.08204057279236276	0.5410122164048865	0.22921944746048978	2.0127871181624437	0.26254102203469293	0.5545286506469501	0.3553394426781373	0.7966616084977238	0.0	0.11126564673157163	0.8533116619260462	0.045408678102926335	0.12072974423180112	0.07624441781940966	0.578386605783866	0.0670191376870951	0.33470257112429636	0.45481220657276994	0.5267778753292361	0.029907287409032004	0.19704433497536944	0.053900053900053896	0.20931449502878074	0.19313493108594507	0.5041310740792606	0.5421453465857752	0.21253148614609574	1.1976047904191618	6.002892960462874	0.3024396800860273	0.11395083835259645	1.4790220344099003	1.165385569055294	0.1298111248133965	0.10793650793650793	0.3788327216763348	0.5676979846721544	0.21461786097531896	0.3250975292587776	0.9472959007922839	0.7628734901462174	0.4978592054167082	0.08807339449541285	4.265536723163842	2.245040027845458	0.05001945200911466	0.17231476163124643	0.2817397429124846	0.8887970235634559	0.4919946631087391	0.267379679144385	0.0	0.0	0.016641704110500914	0.010465724751439037	18.374558303886925	4.705882352941177	4.117647058823529	1.4173228346456692	4.485219164118247	6.995073891625616	0.8004574042309892
%_of_all_Spikeins_in_lib	0.0605	0.1304	0.0396	0.082	0.541	0.2292	2.0128	0.2625	0.5545	0.3553	0.7967	0.0	0.1113	0.8533	0.0454	0.1207	0.0762	0.5784	0.067	0.3347	0.4548	0.5268	0.0299	0.197	0.0539	0.2093	0.1931	0.5041	0.5421	0.2125	1.1976	6.0029	0.3024	0.114	1.479	1.1654	0.1298	0.1079	0.3788	0.5677	0.2146	0.3251	0.9473	0.7629	0.4979	0.0881	4.2655	2.245	0.05	0.1723	0.2817	0.8888	0.492	0.2674	0.0	0.0	0.0166	0.0105	18.3746	4.7059	4.1176	1.4173	4.4852	6.9951	0.8005
%_of_sum_of_Spikeins_and_Contaminants	12.3991	8.6399	6.4375	10.5981	19.4939	15.2612	32.9624	18.4528	5.1471	9.697	21.3961	17.0185	2.6982	18.204	3.0071	3.1792	3.6815	17.7169	6.6796	10.7865	15.6983	15.2473	3.5291	9.1133	10.5875	10.3262	6.5139	8.0521	9.8425	10.9335	42.4671	48.1437	23.6709	26.9576	15.3335	21.4977	16.9339	15.2444	14.81	8.8088	12.3882	10.8908	26.4726	48.8875	15.3739	12.5285	20.5744	21.1625	14.5945	7.9648	19.2991	15.7296	11.8162	6.2363	3.9065	4.9495	0.0998	0.0733	100.0	100.0	100.0	100.0	100.0	100.0	99.9429
Symbiont_to_Extraction_Spikein_Ratio	1222.2222222222222	579.5263157894736	2226.75	814.6363636363636	144.83870967741936	192.1315789473684	32.10588235294118	201.67857142857142	164.48717948717947	198.28947368421052	97.04761904761905	0	808.75	56.06349206349206	2026.111111111111	738.2592592592592	1143.142857142857	104.57894736842105	1255.3333333333333	207.5	101.38709677419355	107.55555555555556	2732.0	391.75	1361.4285714285713	358.6666666666667	397.54545454545456	146.38888888888889	115.04761904761905	333.77777777777777	45.38	8.586345381526105	214.93333333333334	565.5714285714286	55.265306122448976	60.42553191489362	425.25	544.3529411764706	170.328125	157.61666666666667	277.72222222222223	188.06666666666666	70.38181818181818	47.041666666666664	99.5	742.9166666666666	16.59381898454746	32.224806201550386	577.7777777777778	347.3333333333333	257.6875	84.0	59.13559322033898	219.55882352941177	0	0	18.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
%_of_all_Algae_reads_in_lib	4.35045723507262	2.1685424101015647	2.396751510349609	4.333233890214797	1.3089005235602094	2.0328145735311858	0.023679848448969927	1.4345991561181435	1.4076496516422579	5.012156349354779	0.5311077389984825	2.055555555555556	3.4158553546592487	1.7472572125152377	2.39656912209889	2.7052405651940616	4.106306502559634	2.1004566210045663	2.4797080944225183	3.331811958010041	0.5868544600938966	0.46824700029265437	1.465457083042568	1.7733990147783252	1.2320012320012321	0.9419152276295133	2.721446756211044	2.926760957849041	1.7877888214792823	1.4641057934508817	0.8862275449101796	0.313404050144648	0.7863431682236709	0.8220739052580173	0.6036824630244492	1.4133399454500373	2.745505289803336	2.3555555555555556	2.030306617734107	0.7663922793074085	1.5857875283176344	2.1239705244906806	0.9989665862900448	0.5721551176096631	1.4338345116001194	1.9449541284403669	3.352165725047081	2.0710059171597637	0.8392152503751459	1.0913268236645606	4.349357281211481	3.3691608102521706	3.1937958639092727	3.271469015413652	2.175893128225888	2.137859549105986	98.83508071226494	98.51386708529566	0.0	0.0	0.0	0.0	0.0	0.0	0.0
%_of_all_Rotifers_reads_in_lib	9.285906401291017	13.628877298929453	2.9513716945627415	18.235381861575178	0.8376963350785341	38.66570153215104	2.3916646933459624	27.16361931551805	2.232333285937722	14.830746212829624	0.7587253414264037	24.462962962962965	3.8998609179415853	32.209129080319656	2.593340060544904	4.985691289572528	5.053915695458011	19.69558599695586	6.709360339563631	16.430853491556366	37.60269953051643	27.626573017266608	13.29877380121623	11.921182266009852	14.799414799414802	13.657770800627944	13.984724782723202	15.221957709004341	25.997160191041697	16.664042821158688	2.2994011976047903	0.0	10.538342630553128	7.773075044766401	2.324177482644129	6.669972725018597	25.118452651392225	23.644444444444446	18.633834497454718	0.9461633077869239	26.421843328961486	25.845253576072825	5.8560110230795726	14.653528289891927	33.65528228616947	20.095412844036698	5.291902071563088	4.420466411416638	55.666092369254706	31.09324143212713	3.750660327522451	6.242248863166598	55.895597064709804	31.786725385341303	92.96629895759538	92.12231147965795	0.7655183890830422	1.1407639979068551	0.0	0.0	0.0	0.0	0.0	0.0	0.05717552887364208
