Statistics	EXPERIMENT_3_T_A01	EXPERIMENT_3_T_A02	EXPERIMENT_3_T_A03	EXPERIMENT_3_T_A04	EXPERIMENT_3_T_A05	EXPERIMENT_3_T_A06	EXPERIMENT_3_T_A07	EXPERIMENT_3_T_A08	EXPERIMENT_3_T_A09	EXPERIMENT_3_T_A10	EXPERIMENT_3_T_B01	EXPERIMENT_3_T_B02	EXPERIMENT_3_T_B03	EXPERIMENT_3_T_B04	EXPERIMENT_3_T_B05	EXPERIMENT_3_T_B06	EXPERIMENT_3_T_B07	EXPERIMENT_3_T_B08	EXPERIMENT_3_T_B09	EXPERIMENT_3_T_B10	EXPERIMENT_3_T_C01	EXPERIMENT_3_T_C02	EXPERIMENT_3_T_C03	EXPERIMENT_3_T_C04	EXPERIMENT_3_T_C05	EXPERIMENT_3_T_C06	EXPERIMENT_3_T_C07	EXPERIMENT_3_T_C08	EXPERIMENT_3_T_C09	EXPERIMENT_3_T_C10	EXPERIMENT_3_T_D01	EXPERIMENT_3_T_D02	EXPERIMENT_3_T_D03	EXPERIMENT_3_T_D04	EXPERIMENT_3_T_D05	EXPERIMENT_3_T_D06	EXPERIMENT_3_T_D07	EXPERIMENT_3_T_D08	EXPERIMENT_3_T_D09	EXPERIMENT_3_T_D10	EXPERIMENT_3_T_E01	EXPERIMENT_3_T_E02	EXPERIMENT_3_T_E03	EXPERIMENT_3_T_E04	EXPERIMENT_3_T_E05	EXPERIMENT_3_T_E06	EXPERIMENT_3_T_E07	EXPERIMENT_3_T_E08	EXPERIMENT_3_T_E09	EXPERIMENT_3_T_E10	EXPERIMENT_3_T_F01	EXPERIMENT_3_T_F02	EXPERIMENT_3_T_F03	EXPERIMENT_3_T_F04	EXPERIMENT_3_T_F05	EXPERIMENT_3_T_F06	EXPERIMENT_3_T_F07	EXPERIMENT_3_T_F08	EXPERIMENT_3_T_F09	EXPERIMENT_3_T_F10	EXPERIMENT_3_T_KN_hom1	EXPERIMENT_3_T_KN_hom2	EXPERIMENT_3_T_KN_hom_pl1	EXPERIMENT_3_T_KN_hom_pl2	EXPERIMENT_3_T_Neg_PCR
#########
%_of_all_Symbionts_reads_in_lib	74.25137639317846	75.79504086819149	88.34701750915026	67.03092476955099	78.51657940663176	44.1463708705088	64.33832264195772	52.999718336306444	91.2046984672683	70.73994185501266	77.34640030154542	56.23608017817372	90.21200823549052	48.20873327024469	92.14282112058096	89.28220255653883	87.41426238432226	60.54794520547945	83.83907521484524	69.43768996960486	46.31177592022291	56.75754910583407	81.8163732219238	77.21456692913385	73.53054168267383	74.94917813788697	76.96215837421163	73.94100377464001	62.425882959525644	70.97053726169844	54.44550669216062	51.173933876377575	65.05660882963757	64.58113268871374	81.71945701357465	69.91849839466535	55.231538611417804	58.88563795954713	64.44168293981892	89.3703007518797	59.69812217732351	61.31891891891892	66.75828895378801	35.09891512444161	49.77609712409195	65.69793042712462	70.88834402112411	72.22708953916244	29.262659832141047	60.51314142678348	72.87868162692848	75.4728370221328	29.07967262401871	58.79946503028872	0.9155967164807408	0.7725670913526701	0.2825797872340426	0.25073129962390306	0.0	0.0	0.0	0.0	0.0	0.0	0.0
%_of_PCR_contamination_reads_in_lib	1.2488250302135087	3.8120750051514523	4.441586704916411	1.0630389533154923	12.68760907504363	3.0142271521581865	25.611784271798527	12.027039714580791	3.509525855894571	5.795742286410953	16.92423671315492	11.701930215293244	0.8346780924823327	13.5189941868325	0.6656916637248474	0.7910968087959238	1.6113228089275993	10.136986301369863	2.1598600654042133	5.3799392097264445	6.819181698196217	5.3356786866021695	0.8057296329453895	4.035433070866142	3.688052247406838	2.0038334204565253	3.302382620882971	3.509017195582273	4.137664346481052	3.710414368993225	30.736137667304014	31.720172496406324	2.800294767870302	2.145120663037296	13.001508295625944	14.077550012348727	1.9484315126323308	2.029003943518636	7.296289721285283	5.780075187969925	2.9712384121701922	2.8864864864864863	20.443222813949493	45.08615188257817	5.2044979599960195	5.717011595479231	12.797057714070162	15.279481338706852	3.317749112826001	2.1565418311350726	16.49719495091164	9.678068410462776	5.85435109403708	2.226418063094957	0.11576510208377185	0.12198427758200055	0.06648936170212766	0.041788549937317176	72.17694994179278	81.55111633372502	71.96078431372548	76.79389312977099	75.02538071065989	74.80392156862746	99.14236706689536
%_of_Extraction_contamination_reads_in_lib	11.017859540754667	4.704993474826568	1.9487585320011869	9.336901575973833	6.212914485165794	12.008680974198215	5.654549774293181	6.1778236785278375	1.1173184357541899	3.563725030479227	3.6562382208820203	5.484409799554565	1.7639530354459962	3.7988373664999324	2.319834585707802	2.2347367480110845	1.9923788786064236	7.00152207001522	4.646741197049206	5.060790273556231	8.139023317201936	9.410729991204924	2.685765443151298	4.872047244094488	6.807529773338455	8.096648661206947	3.0483531885073583	3.9983223822172516	5.1495230729569474	7.0190641247833625	10.444550669216062	10.82894106372784	20.49306625577812	24.652636710814985	0.9653092006033183	6.791800444554211	14.866532441384686	13.115379722681592	7.225279602343333	2.5281954887218046	9.175184216781554	7.632432432432433	5.0163202198934895	3.765156349712827	9.662653000298537	6.722442389549391	3.5364013579781215	3.697213947783424	11.423421393567285	5.6994319822855495	2.279102384291725	4.607645875251509	5.486888257892099	3.7447879789159	3.9254893706588088	4.974247763621578	0.016622340425531915	0.020894274968658588	9.662398137369035	13.748531139835487	23.92156862745098	21.83206106870229	20.507614213197968	18.235294117647058	0.0
%_of_all_contaminants_reads_in_lib	12.2667	8.5171	6.3903	10.3999	18.9005	15.0229	31.2663	18.2049	4.6268	9.3595	20.5805	17.1863	2.5986	17.3178	2.9855	3.0258	3.6037	17.1385	6.8066	10.4407	14.9582	14.7464	3.4915	8.9075	10.4956	10.1005	6.3507	7.5073	9.2872	10.7295	41.1807	42.5491	23.2934	26.7978	13.9668	20.8694	16.815	15.1444	14.5216	8.3083	12.1464	10.5189	25.4595	48.8513	14.8672	12.4395	16.3335	18.9767	14.7412	7.856	18.7763	14.2857	11.3412	5.9712	4.0413	5.0962	0.0831	0.0627	81.8393	95.2996	95.8824	98.626	95.533	93.0392	99.1424
%_of_PCR_Spikein_reads_in_lib	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
%_of_Extraction_Spikein_reads_in_lib	0.06042701759097623	0.1305034686448245	0.03956870115738451	0.08177222717811478	0.5410122164048865	0.2290812635640222	2.0194820622475644	0.262886113979908	0.5586592178770949	0.35637250304792273	0.79155672823219	0.0	0.1112904123309777	0.8516966337704475	0.0453880679812396	0.12067578439259855	0.07621121393576484	0.578386605783866	0.06844626967830253	0.3343465045592705	0.4546121132130811	0.5277044854881267	0.029841838257236648	0.19685039370078738	0.05378409527468306	0.20909566126502874	0.19271198318149965	0.5032853348245492	0.5413766434648105	0.2126989128722231	1.1950286806883366	5.965500718735027	0.3014671400817311	0.11375639879743235	1.478129713423831	1.1607804396147197	0.12989543417548874	0.10812873680193359	0.37872063435706255	0.5639097744360901	0.21392916567625386	0.3243243243243243	0.9448548359388421	0.7657945118059988	0.49756194646233454	0.08806693086745927	4.27197284043757	2.2603819870334676	0.05069565707204417	0.17329354000192548	0.2805049088359046	0.8651911468812877	0.4927342575580424	0.2674848556368499	0.0	0.0	0.016622340425531915	0.010447137484329294	18.160651920838184	4.700352526439483	4.117647058823529	1.3740458015267176	4.467005076142132	6.96078431372549	0.8004574042309892
%_of_all_Spikeins_in_lib	0.0604	0.1305	0.0396	0.0818	0.541	0.2291	2.0195	0.2629	0.5587	0.3564	0.7916	0.0	0.1113	0.8517	0.0454	0.1207	0.0762	0.5784	0.0684	0.3343	0.4546	0.5277	0.0298	0.1969	0.0538	0.2091	0.1927	0.5033	0.5414	0.2127	1.195	5.9655	0.3015	0.1138	1.4781	1.1608	0.1299	0.1081	0.3787	0.5639	0.2139	0.3243	0.9449	0.7658	0.4976	0.0881	4.272	2.2604	0.0507	0.1733	0.2805	0.8652	0.4927	0.2675	0.0	0.0	0.0166	0.0104	18.1607	4.7004	4.1176	1.374	4.467	6.9608	0.8005
%_of_sum_of_Spikeins_and_Contaminants	12.3271	8.6476	6.4299	10.4817	19.4415	15.252	33.2858	18.4678	5.1855	9.7159	21.3721	17.1863	2.7099	18.1695	3.0309	3.1465	3.6799	17.7169	6.875	10.775	15.4128	15.2741	3.5213	9.1044	10.5494	10.3096	6.5434	8.0106	9.8286	10.9422	42.3757	48.5146	23.5949	26.9116	15.4449	22.0302	16.9449	15.2525	14.9003	8.8722	12.3603	10.8432	26.4044	49.6171	15.3648	12.5276	20.6055	21.2371	14.7919	8.0293	19.0568	15.1509	11.8339	6.2387	4.0413	5.0962	0.0997	0.0731	100.0	100.0	100.0	100.0	100.0	100.0	99.9429
Symbiont_to_Extraction_Spikein_Ratio	1228.7777777777778	580.7894736842105	2232.75	819.7272727272727	145.1290322580645	192.71052631578948	31.858823529411765	201.60714285714286	163.25641025641025	198.5	97.71428571428571	0	810.6	56.6031746031746	2030.111111111111	739.8518518518518	1147.0	104.6842105263158	1224.888888888889	207.6818181818182	101.87096774193549	107.55555555555556	2741.6666666666665	392.25	1367.142857142857	358.44444444444446	399.3636363636364	146.91666666666666	115.30952380952381	333.6666666666667	45.56	8.578313253012048	215.8	567.7142857142857	55.285714285714285	60.234042553191486	425.2	544.5882352941177	170.15625	158.48333333333332	279.05555555555554	189.06666666666666	70.65454545454546	45.833333333333336	100.04	746.0	16.59381898454746	31.953488372093023	577.2222222222222	349.19444444444446	259.8125	87.23255813953489	59.016949152542374	219.8235294117647	0	0	17.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
%_of_all_Algae_reads_in_lib	4.323888814287632	2.170478741671818	2.3939064200217626	4.319060362771335	1.169284467713787	2.0135037376416687	0.023758612497030172	1.4364848371044971	1.4181349376880104	5.0267279377285945	0.5277044854881267	2.060133630289532	3.405486617327917	1.7439502501013924	2.38539512834737	2.69956199159739	4.0500816548720735	2.1004566210045663	2.4412502851927904	3.2978723404255317	0.6892506232585422	0.4690706537672237	1.4622500746045957	1.7716535433070866	1.2293507491356128	0.9409304756926294	2.7154870357393133	2.9218509716202994	1.765919051301882	1.4416259650228456	0.8843212237093689	0.3114518447532343	0.7838145642125008	0.8206711627529049	0.5128205128205128	1.4077550012348727	2.7472884328115867	2.3724716957130134	2.0297058997573822	0.7612781954887218	1.5806988352745424	2.108108108108108	0.9963923724445971	0.574345883854499	1.4329784058115236	1.8640833700278878	3.3572236891738965	2.0851585771859122	0.8392947670816201	1.0542023683450468	4.330294530154278	3.2796780684104623	3.198596960080174	3.2727558807332233	2.2416333403494004	2.168609379235565	98.7533244680851	98.40158796489762	0.0	0.0	0.0	0.0	0.0	0.0	0.0
%_of_all_Rotifers_reads_in_lib	9.097623203974754	13.386908441513839	2.8291621327529923	18.16830211121023	0.8726003490401396	38.58813600192911	2.3521026372059874	27.096047319500517	2.1916630855178343	14.517490387320642	0.7538635506973238	24.51744617668894	3.672583606922264	31.877788292551035	2.440869433657774	4.871726110664164	4.8557430593358735	19.63470319634703	6.844626967830253	16.48936170212766	37.58615632790732	27.49926707710349	13.200039789117676	11.909448818897637	14.690741452170572	13.800313643491899	13.778906797477225	15.126520341115615	25.979633926269656	16.645659366629904	2.294455066921606	0.0	10.564748442419775	7.686682375883644	2.3227752639517347	6.64361570758212	25.0763135675781	23.489377941737693	18.628321202438013	0.9962406015037595	26.36082719277395	25.729729729729726	5.840920803985569	14.709636247606891	33.426211563339635	19.910465286951418	5.149000377216145	4.450674610127913	55.106179237312006	30.403388851448927	3.7342215988779808	6.096579476861167	55.887756806413904	31.689088191330345	92.80151547042728	91.96259148820819	0.8643617021276596	1.2745507730881738	0.0	0.0	0.0	0.0	0.0	0.0	0.05717552887364208
